seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
ADL-Rundle-6,0.8553070289361876,0.9260973729166784,0.7920975925349727,0.8553070289361876,0.8550618598601675,0.854085332460867,0.8534428336452676,0.8528186200815435,0.8518952745595132,0.8512008204302682,0.8508395804892752,0.8503835019972253,0.8501344858027544,0.8499252798827913,0.8493057607014429,0.8485377425526021,0.8469461515183867,0.840909845748079,0.8241454734212557,0.7300867698137439,0.5957018190349056,0.38461819455525,0.8050182302890277,0.8479127579737336,0.8470464135021097,0.8435891436593356,0.8410046728971963,0.8384274381707886,0.8345750873108265,0.8318028594676276,0.8303135888501743,0.8284023668639053,0.8273423005565863,0.8264951321279554,0.8239583333333333,0.8220603537981269,0.8199561150248297,0.813672459431465,0.7940573770491803,0.6921507570063352,0.5453030005883507,0.3198492462311558,0.7804168107285797,0.8627657820550334,0.8631531549312293,0.8647121179873392,0.8660649503781042,0.8674568193337636,0.8695749128520793,0.8710511492649659,0.8718729904561333,0.8729478927090856,0.8735545655829579,0.8740196442826788,0.8754329508903039,0.8758679301460147,0.8748246039363757,0.8690589935539278,0.8553736555975326,0.7701020132701927,0.6507586732855332,0.4625027487981946,0.8311102920690235,0.9931328114270018,0.992583436341162,0.9903859359978024,0.9887378107402829,0.9870896854827633,0.984617497596484,0.9828320285675045,0.9818706221672847,0.980634528224145,0.9799478093668452,0.9793984342810054,0.9777503090234858,0.9765142150803461,0.9751407773657464,0.9710204642219475,0.957972805933251,0.8853179508309298,0.7637687130888614,0.5245158632056036,0.9406964052074976,0.8529134229771173,0.8524416135881104,0.8505543760320831,0.8491389478650625,0.8477235196980419,0.8456003774475112,0.8440669969332389,0.843241330502477,0.8421797593772116,0.8415899976409531,0.8411181882519462,0.8397027600849257,0.8386411889596603,0.8374616654871432,0.8339230950695918,0.8227176220806794,0.7603208303845247,0.6559330030667611,0.45046001415428166,0.8078804584000694,0.9450058470877185,0.9454375809842098,0.9471711997433852,0.9486474606168483,0.9501298124307521,0.9523982694448376,0.9539402554260635,0.9548155995234952,0.955967785803586,0.9566264748736202,0.9571169238955588,0.9586143401671791,0.9592863447280666,0.9588232594240305,0.9555732432133316,0.94663306427625,0.8870664723939602,0.7919062413323248,0.6283687950323255,0.923869945810397,0.8996336802336713,0.8996694419766348,0.8996882909458258,0.9006710256732163,0.902021789749015,0.9041591130099531,0.905598523626247,0.9064229444207608,0.9075215766789487,0.9081484495584047,0.908609666887094,0.9100247886283621,0.9106515040443853,0.9097938186268842,0.906175407248136,0.8959440390831767,0.8408256350977085,0.7544238386405296,0.5914236449134566,0.8769161673180216,0.9260973729166784,0.9265578961702877,0.9283351232752505,0.9295958462052125,0.9307708934336028,0.9324211867878429,0.9335271801186916,0.9340826107491125,0.9347341145564132,0.9350610957578653,0.9352841730386808,0.9358911105438289,0.9362860801683757,0.9366562516784751,0.9375504454134371,0.9396361842524427,0.9486260132941642,0.9598615567833706,0.974157471827599,0.9376385582616491,0.9256570675662403,0.9256087319220552,0.9254181327062557,0.9253708245864133,0.925341925434076,0.9253100424533903,0.9252550826762004,0.9252386046799035,0.9252258345566425,0.9252231530314325,0.9252099605718136,0.9251782737734046,0.9248229475529806,0.9236217539345848,0.9186261847764811,0.9052208023317574,0.8257028135589345,0.7050029180270863,0.4925342917207384,0.8841878603084417,7231.0,7227.0,7211.0,7199.0,7187.0,7169.0,7156.0,7149.0,7140.0,7135.0,7131.0,7119.0,7110.0,7100.0,7070.0,6975.0,6446.0,5561.0,3819.0,6849.210526315789,50.0,54.0,70.0,82.0,94.0,112.0,125.0,132.0,141.0,146.0,150.0,162.0,171.0,181.0,211.0,306.0,835.0,1720.0,3462.0,431.7894736842105,1247.0,1251.0,1267.0,1279.0,1291.0,1309.0,1322.0,1329.0,1338.0,1343.0,1347.0,1359.0,1368.0,1378.0,1408.0,1503.0,2032.0,2917.0,4659.0,1628.7894736842106,0.7931602801812938,0.93302950696284,0.7954951242961131,0.9799478093668452,0.8415899976409531,0.9661016949152542,0.01694915254237288,0.01694915254237288,0.7275326922373113,0.905514309283584,2.752049180327869,0.7953261298006622,6657.1655321798635,7135,146,1343,17,57,1,1,20.0,488,0.8848277174947649,0.957560774618871,0.8223637650389243,6972,309,1506,50.57717970278709,0.7492915511524013,415.08756324379493,0.8505892689422028,76,59,488,8478,7281,76,59
ETH-Sunnyday,0.6943522526551282,0.874747313130198,0.6073827673759739,0.6943522526551282,0.6937393973556083,0.6927938423945911,0.6918006840942461,0.6912739026607533,0.6897750216475528,0.6889107213093268,0.6886700032510935,0.6880421510237853,0.6870496483359854,0.683928551950171,0.678858540864961,0.674904081134227,0.662737306289218,0.6335611652243558,0.5762443892008741,0.4761672551389688,0.3838924599048443,0.21099764193856643,0.6256683692828556,0.7157768446310738,0.712899748472871,0.7086021505376344,0.7039199332777314,0.7014872099940511,0.6948328987911827,0.6912251655629139,0.6904255319148936,0.6876327590276139,0.6832627118644068,0.6767499120647203,0.664261608285814,0.6563585823488534,0.634026508226691,0.5921843687374749,0.5334548573879476,0.4242605318195399,0.3194021588707445,0.14969048958919529,0.6126554721792291,0.673568940352839,0.6750940121304269,0.677338204090548,0.6798900896083021,0.6812092960381716,0.6847539621635998,0.6866040265597653,0.6869189383284892,0.6884517867573359,0.6908575736418597,0.6911833394193692,0.6937762362852271,0.6939735854471392,0.692748223376252,0.6778290195943867,0.6224661590137217,0.5344245760834102,0.461403959487423,0.2974137169690235,0.6415739813340678,0.7825288562434418,0.7806925498426023,0.7779380902413431,0.7749213011542497,0.7733473242392445,0.7690188877229801,0.7666579223504721,0.7661332633788038,0.7642969569779643,0.761411332633788,0.7570828961175237,0.748688352570829,0.7433105981112277,0.7278331584470095,0.6976652675760755,0.6525445960125918,0.5587618048268626,0.45409233997901366,0.24422875131164742,0.7000607499861932,0.8935150516699116,0.8914183016324697,0.8882731765763068,0.8848285158005093,0.8830313014827018,0.8780889621087314,0.8753931406320203,0.8747940691927513,0.8726973191553092,0.8694024262393291,0.8644600868653587,0.8548749438370525,0.8487344615845439,0.8310618541261046,0.7966152463681294,0.745095102590984,0.6380110828216264,0.5184963306874345,0.27886775497978133,0.7993504804395293,0.7132234128752601,0.7148177962034228,0.7171352981907962,0.7197367560197905,0.721114670647317,0.72478582963487,0.7266862548565964,0.7269496213977358,0.7285494911943741,0.730992825593221,0.731705321285893,0.7349019596392722,0.7352059122703828,0.7342205742495488,0.7291929905233199,0.690639501290408,0.6183662247491564,0.5572046650757579,0.3943988747633377,0.692096209497919,0.8840849626392828,0.8858558154332661,0.8885135802677931,0.891790100856414,0.8929677577486249,0.8965412323665976,0.8985167114477783,0.898825042794725,0.9000843123413153,0.9026162297842041,0.9007040621957034,0.8992104783936177,0.8983115929258209,0.8971296277069007,0.8848024149003482,0.8408926444207679,0.7652702081202836,0.6880611290123319,0.5034877107960046,0.8535613481132516,0.874747313130198,0.8766327198330319,0.8793051082596015,0.8820905297759876,0.8834249012594448,0.8868798667302166,0.8886220390780425,0.8889600024177116,0.8900794817463887,0.8916537325410722,0.8937033494527844,0.8972915869393574,0.8992665024580007,0.9038802046976434,0.9116954096049773,0.9209237781003937,0.9366289022086405,0.9503847791372367,0.9696459250614886,0.9013587438122221,0.7260076669673773,0.7259758024297888,0.725897505807605,0.7258521287983833,0.7258177363071389,0.7256643372434359,0.7255276814014597,0.7254456891444795,0.7253837643928035,0.7252770407277441,0.7233830827133002,0.7207095027798488,0.718218574580264,0.7100740295409288,0.6876756243507157,0.6373279597390332,0.5464577208496529,0.4577335509215224,0.2695124871287049,0.6698916782012729,5966.0,5952.0,5931.0,5908.0,5896.0,5863.0,5845.0,5841.0,5827.0,5805.0,5772.0,5708.0,5667.0,5549.0,5319.0,4975.0,4260.0,3462.0,1862.0,5337.263157894737,1658.0,1672.0,1693.0,1716.0,1728.0,1761.0,1779.0,1783.0,1797.0,1819.0,1852.0,1916.0,1957.0,2075.0,2305.0,2649.0,3364.0,4162.0,5762.0,2286.7368421052633,711.0,725.0,746.0,769.0,781.0,814.0,832.0,836.0,850.0,872.0,905.0,969.0,1010.0,1128.0,1358.0,1702.0,2417.0,3215.0,4815.0,1339.7368421052631,0.6420514165792235,0.8815353197526481,0.6480849947534103,0.7619359916054564,0.8700014976785981,0.6511627906976745,0.3023255813953488,0.046511627906976744,0.5517889129647341,0.8123907419061605,1.4276315789473684,0.6478668995498844,5120.838672443133,5809,1815,868,46,28,13,2,81.0,608,0.7353331934829732,0.6896642182581322,0.7874794069192751,5258,2366,1419,30.837961341043957,0.5055403498531796,438.1877096926619,0.7207034698892465,79,43,608,6677,7624,79,43
KITTI-13,0.8563719136923571,0.957687546770967,0.8201367171475917,0.8563719136923571,0.8559705015772815,0.8559284253408893,0.8554590438423396,0.8552033545972337,0.8552033545972337,0.8549499218254015,0.8547811401894441,0.8541815892937071,0.8540509879212642,0.8539667716303432,0.853672285637917,0.8528300528491395,0.8519171150423556,0.8492939931267591,0.8453488647920311,0.8402847762246184,0.8197862682613902,0.6405441898794377,0.8399865552800602,0.8770058708414873,0.8753543845928243,0.8751710654936461,0.8731569182697002,0.8720601151556553,0.8720601151556553,0.8709645957280796,0.8702349614897144,0.8676857170674716,0.8671403542923886,0.8667769560140133,0.8655061752406885,0.8629697970282607,0.8604403064688197,0.8552224371373307,0.8464722302435268,0.8392138063279003,0.8162279871236509,0.5971193073016402,0.848988584261708,0.8362234267114296,0.8370158560538603,0.8371088787005302,0.8381198847302826,0.8386724320992688,0.8386724320992688,0.839229714289631,0.8396017512015367,0.8408876314735828,0.8411592037652327,0.8413459102585563,0.8420001983967423,0.8428094488906519,0.8434783510788381,0.8434066453817439,0.8442269901749568,0.8413571128487557,0.8233600614433807,0.6871271020232477,0.8313580542958683,0.9272708462652597,0.9263397475687979,0.9262362921580799,0.9250982826401821,0.9244775501758742,0.9244775501758742,0.9238568177115664,0.9234429960686944,0.9219946203186427,0.9216842540864887,0.9214773432650528,0.9207531553900269,0.9193047796399751,0.9178564038899234,0.914856196979102,0.909786881853921,0.9055452100144837,0.8918890957997103,0.7419822056693565,0.9099121173511059,0.9417883786907639,0.9408427025323106,0.9407376274035936,0.9395818009877062,0.938951350215404,0.938951350215404,0.9383208994431018,0.9379005989282337,0.9364295471261952,0.9361143217400442,0.9359041714826101,0.9351686455815909,0.9336975937795524,0.9322265419775139,0.92917936324472,0.9240306819375854,0.919722601660187,0.9058526846695387,0.7535988231585584,0.9241578781460325,0.8596382445154146,0.8604314239677291,0.860526813353137,0.8615479298470858,0.8621077576125754,0.8621077576125754,0.8626761550403368,0.8630543690516544,0.8643519542172373,0.8646312872793893,0.8648231994919239,0.865489317279486,0.8662988408469716,0.8671450786757391,0.8677071036378903,0.8693742937334097,0.8680465669538432,0.8572705767591414,0.7615070761810181,0.8583545129503453,0.953020976949359,0.953847268814891,0.9539524785219063,0.9550817071594343,0.9555916533469729,0.9555916533469729,0.956218749304292,0.9566395655119235,0.957959247903387,0.9579871834453907,0.9581461566537539,0.9588841962658564,0.9598203350862653,0.9607934355014082,0.961622170513545,0.9636816209921952,0.962425359906399,0.9518895257604447,0.8422381786178871,0.951336392821173,0.957687546770967,0.9585788477595258,0.9586744739468879,0.9596332004852314,0.9601302837003367,0.9601302837003367,0.9605626440013075,0.9608195679254207,0.9616527067069736,0.9618086650936686,0.961911667708555,0.962218139882545,0.9627351508666142,0.9631961035316341,0.9640040371397097,0.9650477131634254,0.9656884187736171,0.9669911697283052,0.9731334654287759,0.962347583490202,0.8805711808556663,0.8805458856913785,0.8805456398961878,0.8805357834923984,0.8805304284504734,0.8805304284504734,0.8805271677652005,0.8805250460004358,0.8805077356338947,0.8805016713728278,0.8805005361451929,0.8804966436692585,0.8802265360070154,0.8798818137001267,0.878405257327644,0.8763941128100957,0.8728613311699667,0.8569398232771837,0.7140280685900255,0.8697397415950235,8963.0,8954.0,8953.0,8942.0,8936.0,8936.0,8930.0,8926.0,8912.0,8909.0,8907.0,8900.0,8886.0,8872.0,8843.0,8794.0,8753.0,8621.0,7172.0,8795.21052631579,703.0,712.0,713.0,724.0,730.0,730.0,736.0,740.0,754.0,757.0,759.0,766.0,780.0,794.0,823.0,872.0,913.0,1045.0,2494.0,870.7894736842105,554.0,563.0,564.0,575.0,581.0,581.0,587.0,591.0,605.0,608.0,610.0,617.0,631.0,645.0,674.0,723.0,764.0,896.0,2345.0,721.7894736842105,0.8283674736188703,0.848554870058957,0.8374715497620525,0.9110283467825367,0.9252915834821898,0.8382352941176471,0.11764705882352941,0.04411764705882353,0.6903966672604154,0.9181045717562425,1.148626817447496,0.8372703825085712,7472.374185739175,8806,860,711,88,57,8,3,66.0,619,0.8744200594276182,0.8676805296917028,0.881265104549753,8387,1279,1130,55.87424104458416,0.7256394940855085,553.0147839902369,0.8934002972378625,86,68,619,9517,9666,86,68
COMBINED,0.8096143978719125,0.9250499122474477,0.7489337277056829,0.8096143978719125,0.8091784291551857,0.8085335659501534,0.807819679760927,0.807354869902165,0.8065513573082818,0.8059524249098607,0.8057047386219769,0.8051337046608356,0.804662786513021,0.8036118557922423,0.8017208672769462,0.799958620551245,0.7954004950709688,0.7837890347308062,0.7606025094796484,0.7002629173282303,0.6242673247085817,0.4462957956228572,0.7677060723797813,0.8182254550825241,0.816414607156031,0.8138721084426108,0.8108038537912775,0.8088084043491037,0.8054262144821265,0.8029803749267721,0.8019907051633915,0.7995541587487209,0.7975834124260787,0.7950278861225532,0.7896133158889374,0.7854604786076868,0.7763148401991198,0.7579879333119132,0.7278851889539983,0.6533373623421972,0.5583721003829235,0.3532014289640011,0.7512031489127351,0.801093963980123,0.802006388017646,0.8032300412886892,0.8048464890215433,0.8059039476466636,0.8076780719064461,0.8089354752627937,0.8094359718366726,0.8107521864377001,0.811804997334883,0.8122885071609968,0.8140140700435016,0.8147243712740356,0.8149553696498555,0.8104683781442905,0.7947904232782792,0.7505588714949457,0.6979390489452331,0.563927325477893,0.7862817841159048,0.9018761955150381,0.9007773391396362,0.8992308005372187,0.897358674860608,0.8961377233323837,0.8940621057344024,0.892556265516259,0.8919457897521469,0.8904399495340035,0.8892189980057792,0.8876317610190876,0.8842537951243336,0.8816490985307883,0.8758699279638599,0.8641080949086322,0.8442472833828497,0.7919498595905743,0.7180822921330023,0.5230963330755769,0.8539206467187465,0.8981841763942932,0.8970898184176395,0.8955496108949417,0.8936851491569391,0.8924691958495461,0.8904020752269779,0.8889023994811932,0.8882944228274967,0.886794747081712,0.885578793774319,0.8839980544747081,0.8806339169909209,0.8780398832684825,0.8722843709468223,0.8605706874189365,0.8407911802853437,0.7887078469520103,0.7151426718547341,0.5209549286640727,0.8504249436821627,0.8480760716198897,0.8490297696192428,0.8503135340515863,0.8519878185966826,0.8530846079341647,0.8549234083587608,0.8562115586145604,0.8567125733588569,0.8580818360899145,0.8591671650493847,0.8597700200199895,0.8616951625654042,0.8625245494907908,0.863117245780053,0.8622651782018488,0.8524862457259077,0.8196866333845451,0.7777920426650358,0.6687652597376526,0.8402995095191721,0.9170410218985896,0.9178725575201044,0.9186767526945128,0.9203577148669255,0.9213377318189115,0.9230473844156165,0.9243229512912778,0.9248503133047744,0.926085660350817,0.9270005134702508,0.9267476936671459,0.9271979209132508,0.9275920919744615,0.9275529843485417,0.9239143287467292,0.9114571323565293,0.8789825944649234,0.8378858647076327,0.7186394798470503,0.9052927732977917,0.9250499122474477,0.9260862452856671,0.9274675599127412,0.929048547575255,0.9300080768463236,0.9315380718257246,0.9325676316753542,0.9329461316695365,0.9338060990100804,0.9344347216326965,0.9351542592966713,0.9365347557953708,0.9374510386385716,0.9391462512577043,0.9420910528065339,0.9459211227713752,0.953674553400918,0.9614856663383108,0.9729324913583811,0.9382812731234034,0.8499926920182633,0.8499583402564657,0.8498759868613605,0.8498446792529709,0.8498240575958425,0.8497731213236739,0.8497178513154701,0.8496899476595315,0.8496623658702136,0.8496307588042048,0.8491248895579974,0.848407349520601,0.8475264051844148,0.8448638357208691,0.8368585819730546,0.8191456864998999,0.7709766487351495,0.7079390312984026,0.5431282685320321,0.8192600262094956,22160.0,22133.0,22095.0,22049.0,22019.0,21968.0,21931.0,21916.0,21879.0,21849.0,21810.0,21727.0,21663.0,21521.0,21232.0,20744.0,19459.0,17644.0,12853.0,20981.684210526317,2411.0,2438.0,2476.0,2522.0,2552.0,2603.0,2640.0,2655.0,2692.0,2722.0,2761.0,2844.0,2908.0,3050.0,3339.0,3827.0,5112.0,6927.0,11718.0,3589.315789473684,2512.0,2539.0,2577.0,2623.0,2653.0,2704.0,2741.0,2756.0,2793.0,2823.0,2862.0,2945.0,3009.0,3151.0,3440.0,3928.0,5213.0,7028.0,11819.0,3690.315789473684,0.7601237230881934,0.8850748685223988,0.7662691791135892,0.8851898579626389,0.8815661478599222,0.8352941176470589,0.12941176470588237,0.03529411764705882,0.658393162279198,0.8833742867006478,1.7037900874635568,0.7661804982724638,19250.378390362173,21750,2821,2922,151,142,22,6,167.0,1715,0.8373575939727474,0.8390785885800334,0.83564364461738,20617,3954,4055,137.2893820884152,0.6680748520117529,1406.2900569266935,0.8199942022896172,241,170,1715,24672,24571,241,170
